Distribuzione;M_Tabelle;N_Utenti;p;Runs;Throughput;Wait_Time;Avg_Util_%;Max_Util_%;Max_Queue
Lognormal;10;100;0,5;5;5,01;0,1023;4,97;8,62;3,0
Lognormal;10;500;0,5;5;25,01;0,1155;24,01;40,99;6,0
Lognormal;10;1000;0,5;5;50,01;0,1518;45,53;74,95;17,0
Lognormal;10;1200;0,5;5;59,99;0,1886;53,25;85,94;36,0
Lognormal;10;1500;0,5;5;74,95;0,6688;63,69;98,95;160,0
Lognormal;10;1600;0,5;5;79,33;37,797;66,62;99,99;6260,0
Lognormal;10;2000;0,5;5;92,97;276,9334;75,81;100,0;41051,0
Lognormal;10;2500;0,5;5;105,86;511,3278;83,99;100,0;84599,0
Lognormal;10;3000;0,5;5;114,14;715,6679;89,19;100,0;128356,0
Lognormal;10;3500;0,5;5;119,86;851,6754;92,74;100,0;172055,0
Lognormal;10;4000;0,5;5;124,23;931,3892;95,31;100,0;215816,0
Lognormal;10;5000;0,5;5;130,13;1001,7222;98,5;100,0;303159,0
Lognormal;10;100;0,8;5;5,01;0,1011;4,91;8,47;3,0
Lognormal;10;500;0,8;5;25,01;0,1067;22,71;37,77;6,0
Lognormal;10;1000;0,8;5;50,01;0,1168;41,02;64,47;10,0
Lognormal;10;1200;0,8;5;59,99;0,1223;47,18;72,37;13,0
Lognormal;10;1500;0,8;5;74,95;0,1328;55,27;81,53;19,0
Lognormal;10;1600;0,8;5;79,95;0,137;57,69;84,04;22,0
Lognormal;10;2000;0,8;5;99,93;0,1599;66,13;91,49;33,0
Lognormal;10;2500;0,8;5;124,92;0,215;74,3;96,82;65,0
Lognormal;10;3000;0,8;5;149,96;0,4551;80,43;99,46;236,0
Lognormal;10;3500;0,8;5;171,7;86,152;84,99;100,0;27979,0
Lognormal;10;4000;0,8;5;188,33;239,4742;88,39;100,0;71706,0
Lognormal;10;5000;0,8;5;215,81;471,0678;93,03;100,0;159045,0
Lognormal;20;100;0,3;5;5,01;0,1021;2,5;7,46;3,0
Lognormal;20;500;0,3;5;25,01;0,1137;12,36;36,7;6,0
Lognormal;20;1000;0,3;5;50,01;0,1464;24,35;71,11;15,0
Lognormal;20;1200;0,3;5;59,99;0,1827;28,99;83,96;28,0
Lognormal;20;1500;0,3;5;74,73;15,2471;35,64;99,98;2233,0
Lognormal;20;1600;0,3;5;78,76;69,7613;37,47;100,0;9664,0
Lognormal;20;2000;0,3;5;92,38;292,475;43,67;100,0;39547,0
Lognormal;20;2500;0,3;5;106,5;478,7682;50,06;100,0;76922,0
Lognormal;20;3000;0,3;5;118,55;592,1959;55,44;100,0;114396,0
Lognormal;20;3500;0,3;5;127,34;703,9095;59,43;100,0;151936,0
Lognormal;20;4000;0,3;5;134,82;773,4788;62,84;100,0;189448,0
Lognormal;20;5000;0,3;5;147,77;829,5779;68,67;100,0;264347,0
Lognormal;20;100;0,5;5;5,01;0,1017;2,49;7,42;3,0
Lognormal;20;500;0,5;5;25,01;0,1108;12,14;35,53;6,0
Lognormal;20;1000;0,5;5;50,01;0,1318;23,41;66,14;12,0
Lognormal;20;1200;0,5;5;59,99;0,148;27,61;76,65;20,0
Lognormal;20;1500;0,5;5;74,95;0,2023;33,52;90,03;44,0
Lognormal;20;1600;0,5;5;79,95;0,2493;35,39;93,83;55,0
Lognormal;20;2000;0,5;5;97,63;105,0676;41,86;100,0;16110,0
Lognormal;20;2500;0,5;5;114,23;322,7972;48,07;100,0;53475,0
Lognormal;20;3000;0,5;5;128,36;469,8957;53,24;100,0;90949,0
Lognormal;20;3500;0,5;5;140,87;563,137;57,65;100,0;128488,0
Lognormal;20;4000;0,5;5;150,13;669,8715;61,09;100,0;166001,0
Lognormal;20;5000;0,5;5;165,69;782,9556;66,83;100,0;240899,0
Lognormal;20;100;0,8;5;5,01;0,1008;2,47;7,31;3,0
Lognormal;20;500;0,8;5;25,01;0,1048;11,65;33,1;5,0
Lognormal;20;1000;0,8;5;50,01;0,1115;21,65;57,91;10,0
Lognormal;20;1200;0,8;5;59,99;0,115;25,21;65,7;11,0
Lognormal;20;1500;0,8;5;74,95;0,1214;30,09;75,21;16,0
Lognormal;20;1600;0,8;5;79,95;0,1239;31,61;77,92;18,0
Lognormal;20;2000;0,8;5;99,93;0,1364;37,18;86,53;25,0
Lognormal;20;2500;0,8;5;124,92;0,1611;43,1;93,38;41,0
Lognormal;20;3000;0,8;5;149,96;0,2113;48,09;97,32;78,0
Lognormal;20;3500;0,8;5;174,98;0,4203;52,33;99,46;247,0
Lognormal;20;4000;0,8;5;197,51;58,4486;55,96;100,0;21978,0
Lognormal;20;5000;0,8;5;231,84;282,7788;61,84;100,0;96832,0
Uniform;5;50;0,3;5;2,5;0,1024;4,99;5,05;2,0
Uniform;5;100;0,3;5;5,0;0,105;9,96;10,07;3,0
Uniform;5;150;0,3;5;7,49;0,1079;14,87;14,95;4,0
Uniform;5;200;0,3;5;10,0;0,1112;19,8;19,92;5,0
Uniform;5;300;0,3;5;14,99;0,1189;29,51;29,72;6,0
Uniform;5;400;0,3;5;19,98;0,1289;39,09;39,29;8,0
Uniform;5;50;0,5;5;2,5;0,102;4,97;5,03;2,0
Uniform;5;100;0,5;5;5,0;0,1041;9,87;9,99;3,0
Uniform;5;150;0,5;5;7,49;0,1064;14,69;14,78;4,0
Uniform;5;200;0,5;5;10,0;0,109;19,47;19,59;4,0
Uniform;5;300;0,5;5;14,99;0,1149;28,76;28,95;5,0
Uniform;5;400;0,5;5;19,98;0,1222;37,75;37,93;8,0
Uniform;5;50;0,8;5;2,5;0,1009;4,92;4,98;2,0
Uniform;5;100;0,8;5;5,0;0,1019;9,69;9,8;3,0
Uniform;5;150;0,8;5;7,49;0,103;14,27;14,35;4,0
Uniform;5;200;0,8;5;10,0;0,1041;18,74;18,85;4,0
Uniform;5;300;0,8;5;14,99;0,1065;27,18;27,35;5,0
Uniform;5;400;0,8;5;19,98;0,1093;35,02;35,2;7,0
Uniform;10;100;0,3;5;5,01;0,1024;5,0;5,14;3,0
Uniform;10;500;0,3;5;24,99;0,1148;24,68;24,86;5,0
Uniform;10;1000;0,3;5;49,93;0,1421;48,52;48,92;10,0
Uniform;10;1200;0,3;5;59,91;0,1608;57,75;58,12;12,0
Uniform;10;1500;0,3;5;74,88;0,2093;71,2;71,56;20,0
Uniform;10;1600;0,3;5;79,88;0,2362;75,58;75,96;24,0
Uniform;10;2000;0,3;5;99,85;0,613;92,21;92,66;61,0
Uniform;10;2500;0,3;5;109,91;525,0756;100,0;100,0;15401,0
Uniform;10;3000;0,3;5;109,91;975,488;100,0;100,0;40464,0
Uniform;10;3500;0,3;5;109,92;1165,3262;100,0;100,0;65548,0
Uniform;10;4000;0,3;5;109,92;1235,693;100,0;100,0;90596,0
Uniform;10;5000;0,3;5;109,92;1230,4363;100,0;100,0;140592,0
Uniform;10;100;0,5;5;5,01;0,102;4,97;5,12;3,0
Uniform;10;500;0,5;5;24,99;0,1118;24,16;24,33;5,0
Uniform;10;1000;0,5;5;49,93;0,1313;46,39;46,74;9,0
Uniform;10;1200;0,5;5;59,91;0,1432;54,63;54,95;11,0
Uniform;10;1500;0,5;5;74,88;0,1689;66,2;66,52;15,0
Uniform;10;1600;0,5;5;79,88;0,181;69,85;70,17;17,0
Uniform;10;2000;0,5;5;99,86;0,2654;83,05;83,44;31,0
Uniform;10;2500;0,5;5;124,84;0,942;96,34;96,67;103,0
